,lat1,lat2,lng1,lng2
0,51.426812,52.208,-0.552255,0.092782
1,34.1377,49.2788,118.1253,-122.9204
2,39.8766,49.2788,32.7620,-122.9204
3,55.7386,46.7667,37.6068,23.6000
4,48.73,52.208,21.24,0.092782
5,40.425,55.796817,-86.917,37.477491
6,-22.954,41.8415,-43.174,-88.254669
7,34.1377,54.766576,118.1253,-1.574575
8,40.425,41.8415,-86.917,-88.254669
9,39.5149,39.6159792,-0.4255,20.8380516
10,40.107487,49.096224,-88.23,8.43226
11,25.0411,46.232498,121.6166,6.04593
12,50.781444,49.2788,6.048767,-122.9204
13,54.0465,-23.52433,-2.7997,-46.665278
14,48.1500,55.796817,17.1167,37.477491
15,42.3451,51.7500,-71.0993,-1.2500
16,41.8415,54.766576,-88.254669,-1.574575
17,51.7500,45.7667,-1.2500,4.8833
18,-33.034935,40.425,-71.597129,-86.917
19,32.771,51.575726,-97.292,-1.314601
